Product_key	Название товара	Название бренда	Группа товара
9388_38_271	"Грунт ""Galeria"", гипсовый, 1л."	Winsor&Newton	ВС-грунтовка холста - готовые грунты
9389_38_48	Лак универсальный матовый, аэрозоль 400мл	Winsor&Newton	ВС универсальные покрывные
9390_8_123	"Бумага пастельная 160г/кв.м, 500х650мм ""Etival"" (100% хлопок) оранжевый"	Clairfontaine	Бумага пастель-листы-профи
9391_8_10	"Бумага рисовальная 120г/кв.м, 500х700мм ""MAYA"" черный"	Clairfontaine	Бумага-вывод- из серий_Уценка группы
9392_32_210	"Акрил ""Solo Goya Triton"",  банка п/э 750мл, киноварь"	Kreul	Живопись-Акрил стандарт - Solo Goya Triton Kreul банка
9393_32_55	"Паста структурная золотая блестящая ""Solo Goya"", банка п/э 250мл"	Kreul	ВС прочие - расформировать
9394_112_138	"Маркер ""Copic"" двусторонний, бежевый светлый (цв. YG91)"	COPIC Markers	Графические материалы-маркеры-маркеры
9395_112_138	"Маркер ""Copic Wide"", темно-серый  теплый (цв. W9)"	COPIC Markers	Графические материалы-маркеры-маркеры
9396_14_9	"Бумага акварельная хл100%, 640г/кв.м, 560х760мм, торшон ""Lanaquarelle"""	Lana	Бумага-вывод- в листах
9397_8_123	"Бумага пастельная 160г/кв.м, 500х650мм ""Etival"" (100% хлопок) белый"	Clairfontaine	Бумага пастель-листы-профи
9398_23_271	Грунт клеевой, 190г	ЭМТИ	ВС-грунтовка холста - готовые грунты
9399_21_35	Подвеска для пенокартона	Лион Арт Сервис	Подрамники, рамы-рамы-Фурнитура (клинья, подвески)
9400_29_38	"Пастель масляная ""Gioconda"", капут мортум (№123)"	Koh-i-Noor	Графические материалы-пастель-масляная
9401_29_38	"Пастель масляная ""Gioconda"", темно-серый (№120)"	Koh-i-Noor	Графические материалы-пастель-масляная
9402_38_145	"Масло краска ""Winton"", туба 37мл, сер.1, цв.№115, кадмий желтый темный"	Winsor&Newton	Живопись-масло-студия-Winton W&N
9403_7_123	Бумага пастельная 160г/кв.м 500х650мм Mi-Teintes №354 серая нежный	Canson	Бумага пастель-листы-профи
9404_20_28	Палитра деревянная, овальная 306х230мм	ХМ	Живопись - инструменты-Палитры
9405_20_96	Кисть белка плоская серия С-1820 №20	ХМ	Кисти-Универсальные-Белка
9406_20_262	Планка боковая, 2 шт., 40х17мм, h=0,65м, сосна	ХМ	Подрамники, рамы-Подрамники
9407_162_268	Манекен человека 175см женский	Zhejiang Yiwu Kaibo	Мебель, оборудование-Манекены
9408_162_268	Манекен человека 180см мужской	Zhejiang Yiwu Kaibo	Мебель, оборудование-Манекены
9409_81_296	Холст на подрамнике, мелкозернистый 30х50см, хлопок 100%	Никифоров	Основы-холст на подрамнике-Студенческий-Хлопок
9410_131_255	Аэрограф Air Brush Аэро-Про-102 сопло 0,2мм	DING HWA CO.LTD	Аэрография - Оборудование - аэрографы
9411_12_72	"Краска по стеклу ""Idea"" цв.№236 вишневый банка 60мл"	Maimeri	ДПИ-Направления-Стекло-Краски, контуры
9412_12_72	"Краска по стеклу ""Idea"" цв.№301 морская волна банка 60мл"	Maimeri	ДПИ-Направления-Стекло-Краски, контуры
9413_159_392	Пигмент белила титановые, банка п/э 75мл, 60гр	ИП Кочергин Д.В.	Живопись-пигменты-банки-Кочергин
9414_159_392	Пигмент охра красная новгородская, банка п/э 75мл, 60гр	ИП Кочергин Д.В.	Живопись-пигменты-банки-Кочергин
9415_159_392	Пигмент черный магнетитовый, банка п/э 75мл, 70гр	ИП Кочергин Д.В.	Живопись-пигменты-банки-Кочергин
9416_38_226	"Акрил ""Galeria"", туба 60мл, металлический голубой (цв.№407)."	Winsor&Newton	z-Уценка группы 15.12.2009г. Акрил-вывод
9417_136_276	"Доска чертежная ""Step in"", пластик, пласт. упаковка, A3"	Hebel	Черчение-Доски чертежные
9418_20_4	Кисть синтетика плоская серия 3103-2 №18	ХМ	Кисти-Акварель-Синтетика
9419_8_32	"Бумага рисовальная 270г/кв.м, 500х700мм ""MAYA"" слоновая кость"	Clairfontaine	Бумага рисовальная-листы
9420_7_123	Бумага пастельная 160г/кв.м 500х650мм Mi-Teintes №553 солнечный желтый	Canson	Бумага пастель-листы-профи
9421_9_160	"Карандаш цветной проф. ""Polychromos"", золотой зеленый (цв №268)"	Faber-Castell	Графические материалы-полихромные-штуки
9422_9_160	"Карандаш цветной проф. ""Polychromos"", сангина (цв №188)"	Faber-Castell	Графические материалы-полихромные-штуки
9423_8_10	"Бумага рисовальная 120г/кв.м, 500х700мм ""MAYA"" насыщенный розовый"	Clairfontaine	Бумага-вывод- из серий_Уценка группы
9424_8_32	"Бумага рисовальная 120г/кв.м, 500х700мм ""MAYA"" светло-коричневый"	Clairfontaine	Бумага рисовальная-листы
9425_20_262	Планка средняя с прорезью, 55х18мм, h=0,66м, сосна	ХМ	Подрамники, рамы-Подрамники
9426_9_110	"Карандаш пастельный ""Pitt"", №165, зеленые джунгли"	Faber-Castell	Графические материалы-пастельные карандаши-штуки
9427_10_160	"Карандаш цветной ""Artists"", (№3900) , турецкий голубой"	Derwent	Графические материалы-полихромные-штуки
9428_10_13	"Набор акварельных карандашей ""Watercolour"" (24цв.), метал.упаковка"	Derwent	Графические материалы-акварельные-наборы
9429_8_32	"Бумага рисовальная 270г/кв.м, 500х700мм ""MAYA"" черный"	Clairfontaine	Бумага рисовальная-листы
9430_163_400	Устройство  Logan 1500  для резки пенокартона	Logan Graphic Products	Инструменты-макетирование-Ножи-безопасные
9431_20_262	Планка средняя с прорезью, 55х18мм, h=0,91м, сосна	ХМ	Подрамники, рамы-Подрамники
9432_38_70	Тушь, банка 14мл, цв.№702, белый	Winsor&Newton	Графические материалы-тушь-тубы, банки
9433_20_129	"Набор кистей ""Художественные кисти"", 5шт(белка №1-5), блист. упаковка"	ХМ	Кисти-Акварель-Наборы
9434_68_5	Бумага крепированная 30г/кв.м, 500х200мм, красный	Maildor	z-Уценка
9435_16_144	Лак даммарный, матовый, флакон стекло 1000мл	Ferrario	ВС масло покрывные
9436_18_58	"Гуашь ""Сонет"", банка 500мл, желтый, (цв.№211)"	ЗХК	Живопись-гуашь, Сонет, банка 500мл ЗХК
9437_1_270	Кисть пони флейц  №50	Живописные кисти	Кисти-Специальные-Пони
9438_80_46	Холст в рулоне, крупнозернистый  (репинский) 1.5х3м, лен 100%	Туюкан	Основы-холст грунтованный мерный
9439_9_120	"Карандаш акварельный ""Albrecht Durer"", (№234), серый холодный 5"	Faber-Castell	Графические материалы-акварельные-штуки
9440_112_138	"Маркер ""Copic sketch"", двусторонний, серый нейтральный (цв. N9)"	COPIC Markers	Графические материалы-маркеры-маркеры
9441_112_138	"Маркер ""Copic"" двусторонний, серый теплый (цв. W3)"	COPIC Markers	Графические материалы-маркеры-маркеры
9442_112_138	"Маркер ""Copic"" двусторонний, серый теплый (цв. W7)"	COPIC Markers	Графические материалы-маркеры-маркеры
9443_32_161	Трафарет Ornaments универсальный многоразовый	Kreul	ДПИ-Трафареты-Мотивы, трафареты
9444_116_200	Коврик для резки А1, 1 стор.-магнитная, 2 стор.-для резки	Morn sun	Инструменты-макетирование-Коврики для резки
9445_38_70	Тушь, банка 14мл, цв.№283, золотой	Winsor&Newton	Графические материалы-тушь-тубы, банки
9446_38_3	"Кисть синтетика круглая ""Artisan""  серия 5522 №02"	Winsor&Newton	Кисти-Масло-Синтетика
9447_38_3	"Кисть синтетика плоская ""Artisan"" серия 5524 №04"	Winsor&Newton	Кисти-Масло-Синтетика
9448_38_3	"Кисть синтетика плоская ""Artisan"" серия 5524 №06"	Winsor&Newton	Кисти-Масло-Синтетика
9449_31_397	"Книга ""Роспись по шелку"" основы мастерства К.Эрл"	изд. Арт-Родник	Литература- Материалы и техники-Ткань
9450_29_73	"Набор пастели сухой  ""Toison D""or"" (48цв.), деревянная коробка"	Koh-i-Noor	Графические материалы-пастель-сухая
9451_54_277	Карандаш цветной по дереву синий	Lyra	Графические материалы-специальные-по дереву(столярный), химический
9452_9_273	Мелок восковой, для шероховатых поверхностей №2913, красный	Faber-Castell	Графические материалы-специальные-прочие
9453_9_273	Мелок восковой, для шероховатых поверхностей №2914, желтый	Faber-Castell	Графические материалы-специальные-прочие
9454_27_34	"Набор акварели ""Академия художеств"", (24цв.по 2.5мл); картон.упаковка"	Таир	Живопись-акварель-наборы
9455_16_56	Терпентин-пинен эссенция, флакон стекло 250мл	Ferrario	ВС масло растворители очистители
9456_38_3	"Кисть синтетика круглая ""Artisan""  серия 5522 №20"	Winsor&Newton	Кисти-Масло-Синтетика
9457_38_4	"Кисть синтетика круглая ""Cotman"" серия 444 №08"	Winsor&Newton	Кисти-Акварель-Синтетика
9458_38_82	"Кисть синтетика круглая ""Galeria"" серия 5730 №12"	Winsor&Newton	Кисти-Масло, Акрил- Синтетика
9459_32_155	"Краска по ткани ""Fashion Pen"" туба 25мл зелёный листва цв.№91712"	Kreul	ДПИ-Направления-Ткань-краски, контуры
9460_56_48	"Лак ""AKUA-KLARLACK"", банка стекло 50мл"	Marabu	ВС универсальные покрывные
9461_32_100	"Сопло для красок  ""Fashion Pen"" метал. d:0,5мм"	Kreul	ДПИ-Направления-Батик-инструменты
9462_32_153	"Стразы ""Сердечки"" прозрачные 100шт"	Kreul	ДПИ-Блестки-Стразы
9463_32_100	"Тефлоновая пленка ""FasionPen"" для термонаносных красок по ткани"	Kreul	ДПИ-Направления-Батик-инструменты
9464_8_10	"Бумага рисовальная 270г/кв.м, 500х700мм ""MAYA"" белый"	Clairfontaine	Бумага-вывод- из серий_Уценка группы
9465_23_45	Планшет 55х75см одностр-й, фанера	ЭМТИ	Подрамники, рамы-Планшеты
9466_32_48	"Лак покрывной глянцевый ""Solo Goya"" универс. флакон стекло 50мл"	Kreul	ВС универсальные покрывные
9467_112_138	"Маркер ""Copic sketch"", двусторонний, черный глубокий (цв. 110)"	COPIC Markers	Графические материалы-маркеры-маркеры
9468_12_302	"Акрил ""Polycolor"", банка 140мл, пастель оранжевый (цв.№052)"	Maimeri	Живопись-Акрил стандарт - Polycolor Pastell  Maimeri
9469_70_154	Основа д\росписи липа матрешка 5-местная h=18см	Татьянка	ДПИ-Основа для росписи
9470_152_146	"Мастихин ""Plus"", №62"	RGM	Живопись - инструменты-Мастихины
9471_16_87	"Масло краска ""Oil Master"", туба 60мл, зелёный изумрудный (цв.№ 36)"	Ferrario	Живопись-масло-студия-Oil Master Ferrario
9472_50_7	Стек скульптурный, 20.5см, №30	Artist Canvas	z-Неликвиды прочие
9473_116_200	Коврик для резки А3 прозрачный - для столов с подсветкой	Morn sun	Инструменты-макетирование-Коврики для резки
9474_16_224	"Акрил ""Dekor-Apa"", аэрозоль 400мл, светло-каштановый (цв.№111)"	Ferrario	Живопись-Акрил аэрозоль Ferrario Artist's
9475_85_176	"Краска для граффити ""Montana"" цв.№ 3080 оникс"	L&G Vertriebs	ДПИ-Направления-Граффити-краски
9476_38_4	"Кисть синтетика круглая ""Cotman"" серия 444 №03"	Winsor&Newton	Кисти-Акварель-Синтетика
9477_38_4	"Кисть синтетика круглая ""Cotman"" серия 444 №05"	Winsor&Newton	Кисти-Акварель-Синтетика
9478_38_82	"Кисть синтетика круглая ""Galeria"" серия 5730 №01"	Winsor&Newton	Кисти-Масло, Акрил- Синтетика
9479_38_82	"Кисть синтетика круглая ""Galeria"" серия 5730 №02"	Winsor&Newton	Кисти-Масло, Акрил- Синтетика
9480_80_182	Холст на подрамнике лен100%, мелкозернистый 80х90см	Туюкан	Основы-холст на подрамнике-Базовый
9481_70_154	"Основа д\росписи липа ""Яблоко""  7х9см"	Татьянка	ДПИ-Основа для росписи
9482_8_10	"Бумага рисовальная 120г/кв.м, 500х700мм ""MAYA"" бордовый"	Clairfontaine	Бумага-вывод- из серий_Уценка группы
9483_108_200	Набор для резки, 2 предмета: линейка 35см с встр. рез, подкладка 380х100х3мм	Alco	Инструменты-макетирование-Коврики для резки
9484_38_147	Набор кистей, золотая синтетика, короткая ручка: № 2 (круглая), 1 (дизайнерская)	Winsor&Newton	Кисти-Масло, Акрил- Наборы
9485_38_312	"Акрил ""Galeria"", туба 60мл, сер.2, цв.№283, золотой металлический"	Winsor&Newton	Живопись-Акрил проф -Galeria WN
9486_159_392	Пигмент крон лимонный, банка п/э 75мл, 80гр	ИП Кочергин Д.В.	Живопись-пигменты-банки-Кочергин
9487_159_392	Пигмент охра прокалочная, банка п/э 75мл, 40гр	ИП Кочергин Д.В.	Живопись-пигменты-банки-Кочергин
9488_159_392	Пигмент сиена башкирская, банка п/э 75мл, 60гр	ИП Кочергин Д.В.	Живопись-пигменты-банки-Кочергин
9489_6_32	"Бумага рисовальная 150г/кв.м, 210х297мм ""Canford"" серо-зеленый"	Daler-rowney	Бумага рисовальная-листы
9490_70_156	Стамеска по мягкому дереву сталь Х12МФ1 №17 R 13мм	Татьянка	ДПИ-Направления-Дерево-инструменты
9491_38_82	"Кисть синтетика овальная ""Galeria"" серия 5732 №12"	Winsor&Newton	Кисти-Масло, Акрил- Синтетика
9492_38_82	"Кисть синтетика овальная ""Galeria"" серия 5732 №14"	Winsor&Newton	Кисти-Масло, Акрил- Синтетика
9493_38_85	Масло краска, туба 37мл, сер.2, цв.№217, серый Дэйвис	Winsor&Newton	Живопись-масло-профи-Winsor&Newton  Artist s
9494_12_64	Масло маковое, флакон стекло 75мл, №656	Maimeri	ВС масло связующие
9495_45_187	"Пигмент золотисто-розовый ""Pearl Ex"", банка п/э 21г"	Jacquard Products	z-Уценка группы 15.12.2009г. Пигменты -вывод
9496_45_187	"Пигмент смешанный-золотой ""Pearl Ex"", банка п/э 14г"	Jacquard Products	z-Уценка группы 15.12.2009г. Пигменты -вывод
9497_32_100	Сопло для красок метал. d:0,3мм	Kreul	ДПИ-Направления-Батик-инструменты
9498_9_261	Рейсшина подвижная (магнитная линейка) А3	Faber-Castell	Черчение-Рейсшины
9499_18_72	"Краска по стеклу и керамике ""Decola"" цв.№335 розовый светлый банка 50мл"	ЗХК	ДПИ-Направления-Стекло-Краски, контуры
9500_137_286	"Книга серия Leonardo Collection ""Розы/Roses"" учеб.пос.на англ.яз"	изд. Vinciana	Литература-Практические руководства по живописи и рисунку-Натюрморт/пейзаж
9501_12_225	"Акрил ""Start  , туба 75мл, зелёный темный (цв.№346)"	Maimeri	Живопись-Акрил студия - Start Maimeri
9502_6_31	"Акрил туба 75мл ""System3"" изумрудный (цв.№335)"	Daler-rowney	Живопись-Акрил стандарт - System3 DR туба
9503_23_45	Планшет 60х70см одностр-й, фанера	ЭМТИ	Подрамники, рамы-Планшеты
9504_12_144	Лак покрывной блестящий, флакон стекло 75мл, №670	Maimeri	ВС масло покрывные
9505_102_339	Ткань льняная ш.150см, бордовая/цена за метр	Гаврилов Ям	Основы-Ткань для вышивки/росписи
9506_38_1	"Кисть соболь круглая ""Series7"" серия 5007 №01"	Winsor&Newton	Кисти-Акварель-Колонок-Соболь
9507_8_123	"Бумага пастельная 160г/кв.м, 500х650мм ""Etival"" (100% хлопок) светло-серый"	Clairfontaine	Бумага пастель-листы-профи
9508_8_123	"Бумага пастельная 160г/кв.м, 500х650мм ""Etival"" (100% хлопок) слоновая кость"	Clairfontaine	Бумага пастель-листы-профи
9509_38_70	Тушь, банка 14мл, цв.№441,  каштановый	Winsor&Newton	Графические материалы-тушь-тубы, банки
9510_8_10	"Бумага рисовальная 120г/кв.м, 500х700мм ""MAYA"" васильковый"	Clairfontaine	Бумага-вывод- из серий_Уценка группы
9511_1_89	Кисть белка круглая d=0,8мм L=8мм сер. 1452 №0	Живописные кисти	Кисти-Акварель-Белка
9512_29_130	Чернограф.карандаш технический 7H d:6.00мм	Koh-i-Noor	Графические материалы-чернографитовые-штуки
9513_56_155	Краска по шелку банка 50мл голубой арктический цв.№291	Marabu	ДПИ-Направления-Ткань-краски, контуры
9514_38_192	Акварель Cotman, туба 8 мл, сер.1, цв.№580, оттенок розовая марена	Winsor&Newton	Живопись-акварель-тубы/кюветы
9515_32_48	"Лак акриловый на  осн. синт. смол. ""Хобби Лайн"", банка стекло 50мл, бесцветный"	Kreul	ВС универсальные покрывные
9516_112_138	"Маркер ""Copic"" двусторонний, красное дерево (цв. E19)"	COPIC Markers	Графические материалы-маркеры-маркеры
9517_9_122	"Уголь натуральный d:7-12.00мм ""Pitt Monochrome"""	Faber-Castell	Графические материалы-мягкие прочие-уголь
9518_14_10	"Бумага рисовальная 220г/кв.м, 500х700мм ""Easy Colours"" нарцисс (№199)"	Lana	Бумага-вывод- из серий_Уценка группы
9519_32_210	"Акрил ""Solo Goya Triton"",  банка п/э 750мл, баклажановый"	Kreul	Живопись-Акрил стандарт - Solo Goya Triton Kreul банка
9520_32_210	"Акрил ""Solo Goya Triton"",  банка п/э 750мл, белый"	Kreul	Живопись-Акрил стандарт - Solo Goya Triton Kreul банка
9521_32_210	"Акрил ""Solo Goya Triton"",  банка п/э 750мл, зеленая листва"	Kreul	Живопись-Акрил стандарт - Solo Goya Triton Kreul банка
9522_32_210	"Акрил ""Solo Goya Triton"",  банка п/э 750мл, лимонный"	Kreul	Живопись-Акрил стандарт - Solo Goya Triton Kreul банка
9523_32_210	"Акрил ""Solo Goya Triton"",  банка п/э 750мл, ультрамарин"	Kreul	Живопись-Акрил стандарт - Solo Goya Triton Kreul банка
9524_112_138	"Маркер ""Copic"" двусторонний, синий марганцевый (цв. B34)"	COPIC Markers	Графические материалы-маркеры-маркеры
9525_2_175	"Кисть синтетика лайнер d=2,20мм L=12мм ""Манеж"" серия 222 №02"	Гамма	Кисти-Специальные-Синтетика
9526_8_10	"Бумага рисовальная 120г/кв.м, 500х700мм ""MAYA"" хаки"	Clairfontaine	Бумага-вывод- из серий_Уценка группы
9527_8_32	"Бумага рисовальная 270г/кв.м, 500х700мм ""MAYA"" светло-коричневый"	Clairfontaine	Бумага рисовальная-листы
9528_32_155	"Краска по свет.ткани ""Tex Sunny"" майская зелень цв.№90913 банка 20мл"	Kreul	ДПИ-Направления-Ткань-краски, контуры
9529_32_155	"Краска по свет.ткани ""Tex Sunny"" оливковая цв.№90915 банка 20мл"	Kreul	ДПИ-Направления-Ткань-краски, контуры
9530_32_155	"Краска по тем.ткани ""Tex Opac"" фиолетовый цв.№90957 банка 20мл"	Kreul	ДПИ-Направления-Ткань-краски, контуры
9531_16_73	"Пастель сухая ""Artisti"", (№03) белый теплый"	Ferrario	Графические материалы-пастель-сухая
9532_29_15	"Набор трехгранных цветных карандашей ""Triocolor"" (12цв.), метал.упаковка"	Koh-i-Noor	Графические материалы-полихромные-наборы 
9533_84_222	"Книга серия Уроки для начинающих ""Рисуем кошек и собак. Шаг за шагом"""	изд. АСТ	Литература-Практические руководства по живописи и рисунку-Животные
9534_33_73	Набор пастели (10цв.), картон..упаковка	Подольск Арт-Центр	Графические материалы-пастель-сухая
9535_20_4	Кисть синтетика плоская серия 3103-2 №08	ХМ	Кисти-Акварель-Синтетика
9536_1_89	Кисть белка круглая d=7,0мм L=26мм сер. 141T Мастер №07	Живописные кисти	Кисти-Акварель-Белка
9537_32_292	Кисть поролоновая, плоская, шир. 50мм	Kreul	Кисти-Специальные-Поролон
9538_32_155	Краска по шелку под утюг банка 50мл пастельный зелёный цв.№8178	Kreul	ДПИ-Направления-Ткань-краски, контуры
9539_87_81	Чехол для подрамников, 100х100, наплечный ремень	Estado	Сумки-Чехлы для подрамников
9540_32_155	"Краска по ткани ""Текс Флеш"" банка 20мл флуоресцентный розовый цв.№90927"	Kreul	ДПИ-Направления-Ткань-краски, контуры
9541_9_120	"Карандаш акварельный ""Albrecht Durer"", (№111), кадмий оранжевый"	Faber-Castell	Графические материалы-акварельные-штуки
9542_6_32	"Бумага рисовальная 150г/кв.м, 210х297мм ""Canford"" голубой"	Daler-rowney	Бумага рисовальная-листы
9543_6_32	"Бумага рисовальная 150г/кв.м, 210х297мм ""Canford"" изумрудный"	Daler-rowney	Бумага рисовальная-листы
9544_6_32	"Бумага рисовальная 150г/кв.м, 210х297мм ""Canford"" темно-красный"	Daler-rowney	Бумага рисовальная-листы
9545_6_32	"Бумага рисовальная 150г/кв.м, 210х297мм ""Canford"" терракотовый"	Daler-rowney	Бумага рисовальная-листы
9546_20_3	Кисть синтетика плоская серия 3003-2 №0	ХМ	Кисти-Масло-Синтетика
9547_8_10	"Бумага рисовальная 120г/кв.м, 500х700мм ""MAYA"" бледно-оранжевый"	Clairfontaine	Бумага-вывод- из серий_Уценка группы
9548_8_10	"Бумага рисовальная 120г/кв.м, 500х700мм ""MAYA"" красный"	Clairfontaine	Бумага-вывод- из серий_Уценка группы
9549_150_235	"Книга ""Современные дома на побережье"""	изд. Taschen	Литература-Архитектура-Общие труды
9550_1_89	Кисть белка круглая d=11,0мм L=34мм сер. 1452 №11	Живописные кисти	Кисти-Акварель-Белка
9551_1_89	Кисть белка круглая d=8,0мм L=28мм сер. 1450 №08	Живописные кисти	Кисти-Акварель-Белка
9552_68_5	Бумага крепированная 30г/кв.м, 500х200мм, белый	Maildor	z-Уценка
9553_76_235	"Книга Михаловский И.Б. ""Архитектурные формы античности"""	изд. Архитектура-С	Литература-Архитектура-Общие труды
9554_84_172	"Книга ""Пластическая анатомия"""	изд. АСТ	Литература-Учебные материалы
9555_136_195	Угольник с транспортиром для чертежных досок со стороной 20см., пластик, прозр.,	Hebel	Черчение-Угольники
9556_31_286	"Книга серия ГТ ""Рисуем цветы: Декоративные картины с цветочными мотивами"""	изд. Арт-Родник	Литература-Практические руководства по живописи и рисунку-Натюрморт/пейзаж
9557_9_38	"Набор пастели мягкой ""Creative Studio"" (36цв.), картон.упаковка"	Faber-Castell	Графические материалы-пастель-масляная
9558_38_82	"Кисть синтетика овальная ""Galeria"" серия 5732 №08"	Winsor&Newton	Кисти-Масло, Акрил- Синтетика
9559_38_192	Акварель Cotman, кювета 2.5мл, сер.1, цв.№098, оттенок насыщенно-красный кадмий	Winsor&Newton	Живопись-акварель-тубы/кюветы
9560_38_192	Акварель Cotman, кювета 2.5мл, сер.1, цв.№331, черная слоновая кость	Winsor&Newton	Живопись-акварель-тубы/кюветы
9561_18_34	"Набор акварели ""Белые ночи"", (24цв.по 2.5мл), кисть, пласт.вклад.; дерев.упаковк"	ЗХК	Живопись-акварель-наборы
9562_32_72	"Краска по стеклу ""Glass Color"" цв.№42404 желтый флакон 20мл"	Kreul	ДПИ-Направления-Стекло-Краски, контуры
9563_32_72	"Краска по стеклу ""Glass Color"" цв.№42405 оранжевый флакон 20мл"	Kreul	ДПИ-Направления-Стекло-Краски, контуры
9564_32_72	"Краска по стеклу ""Glass Color"" цв.№42406 красный флакон 20мл"	Kreul	ДПИ-Направления-Стекло-Краски, контуры
9565_41_95	Перо для декоративного шрифта бронзовое 400 №2 LEONARDT	Manuscript pen company	ДПИ-Направления-Каллиграфия-перья, кисти
9566_161_303	Масленка двойная металич.с крышкой, D55мм х 32мм	Fome s.r.l.	Живопись - инструменты-Масленки
9567_116_200	Коврик для резки А2 самовосстан.,многослойный ,зеленый	Morn sun	Инструменты-макетирование-Коврики для резки
9568_2_205	Холст на подрамнике, овальный, 16х22см	Гамма	Основы-холст на подрамнике-нестандартых размеров
9569_54_161	Набор трафаретов Транспорт пластик 14х20см	Lyra	ДПИ-Трафареты-Мотивы, трафареты
9570_29_15	"Набор цветных карандашей, 12цв., картон.упаковка, ""School pencils"""	Koh-i-Noor	Графические материалы-полихромные-наборы 
9571_86_185	"Чернограф.механ.карандаш d:0.50мм ""Tikky II"" черный корпус"	Rotring	Графические материалы-чернографитовые-механические/цанговые
9572_1_2	Кисть колонок плоская пучок: шир.=0,70мм, дл.=1,00мм, серия 1122 №07	Живописные кисти	Кисти-Масло-Колонок
9573_127_278	Мольберт настольный MS-14 h: max 44 0,45кг	Cappeletto	Мольберты-Настольные
9574_38_192	Акварель Cotman, кювета 2.5мл, сер.1, цв.№337, ламповый черный	Winsor&Newton	Живопись-акварель-тубы/кюветы
9575_38_192	Акварель Cotman, кювета 2.5мл, сер.1, цв.№465, серый Пэйнес	Winsor&Newton	Живопись-акварель-тубы/кюветы
9576_38_192	Акварель Cotman, кювета 2.5мл, сер.1, цв.№538, синий Прусский	Winsor&Newton	Живопись-акварель-тубы/кюветы
9577_38_192	Акварель Cotman, кювета 2.5мл, сер.1, цв.№544, пурпурный	Winsor&Newton	Живопись-акварель-тубы/кюветы
9578_9_185	"Набор чернограф. стержней для карандаша d:0.70мм 2H, 12шт. ""Super-Polymer"""	Faber-Castell	Графические материалы-чернографитовые-механические/цанговые
9579_153_102	Нож трафаретный №1	Proedge	Инструменты-макетирование-Ножи- стандартные
9580_38_82	"Кисть синтетика плоская ""Galeria"" серия 5731 №02"	Winsor&Newton	Кисти-Масло, Акрил- Синтетика
9581_6_86	"Масло краска ""Georgian"", туба 38мл, зеленый светлый (№347)"	Daler-rowney	z-Georgian DR - студ.
9582_54_231	Держатель восьмиуг. для мелков, d:8.5мм	Lyra	Графические материалы-инструменты-держатели,удлинители
9583_6_86	"Масло краска ""Georgian"", туба 38мл, сиена жженая (№221)"	Daler-rowney	z-Georgian DR - студ.
9584_39_88	"Масло краска ""Лувр"", туба 60мл, синий прусский (цв.№046)"	Lefranc&Bourgeois	z-Уценка группы 15.12.2009г. Масло-вывод
9585_72_193	Набор лезвий пильных для ножа АК-4, 3шт, 6мм	Olfa	Инструменты-макетирование-Ножи- для графических лезвий
9586_10_160	"Карандаш цветной ""Artists"", (№6480) , серо-коричневый"	Derwent	Графические материалы-полихромные-штуки
9587_10_160	"Карандаш цветной ""Drawing"", (№4125) ,палевый кедр"	Derwent	Графические материалы-полихромные-штуки
9588_10_160	"Карандаш цветной ""Drawing"", (№6210) , марс оранжевый"	Derwent	Графические материалы-полихромные-штуки
9589_9_61	"Ластик ""Sleeve"" зеленая манжетка"	Faber-Castell	Графические материалы-инструменты-ластики
9590_9_38	Пастель восковая, красный	Faber-Castell	Графические материалы-пастель-масляная
9591_9_38	"Пастель масляная ""Creative Studio"", №176, коричневый ван дейк"	Faber-Castell	Графические материалы-пастель-масляная
9592_27_192	"Акварель ""Декор"", кювета 2.5мл, алая"	Таир	Живопись-акварель-тубы/кюветы
9593_27_192	"Акварель ""Декор"", кювета 2.5мл, желтая темная"	Таир	Живопись-акварель-тубы/кюветы
9594_27_192	"Акварель ""Декор"", кювета 2.5мл, лазурь железная"	Таир	Живопись-акварель-тубы/кюветы
9595_27_192	"Акварель ""Декор"", кювета 2.5мл, охра золотистая"	Таир	Живопись-акварель-тубы/кюветы
9596_27_192	"Акварель ""Декор"", кювета 2.5мл, пурпурная"	Таир	Живопись-акварель-тубы/кюветы
9597_27_192	"Акварель ""Декор"", кювета 2.5мл, сиена натуральная"	Таир	Живопись-акварель-тубы/кюветы
9598_27_192	"Акварель ""Декор"", кювета 2.5мл, ультрамарин"	Таир	Живопись-акварель-тубы/кюветы
9599_27_192	"Акварель ""Декор"", кювета 2.5мл, фиолетовая"	Таир	Живопись-акварель-тубы/кюветы
9600_27_192	"Акварель ""Декор"", кювета 2.5мл, церулеум"	Таир	Живопись-акварель-тубы/кюветы
9601_29_38	"Пастель масляная ""Gioconda"", берлинская лазурь (№139)"	Koh-i-Noor	Графические материалы-пастель-масляная
9602_29_38	"Пастель масляная ""Gioconda"", виридоновый зеленый темный (№134)"	Koh-i-Noor	Графические материалы-пастель-масляная
9603_29_38	"Пастель масляная ""Gioconda"", голубая гора (№117)"	Koh-i-Noor	Графические материалы-пастель-масляная
9604_29_38	"Пастель масляная ""Gioconda"", зеленая земля (№126)"	Koh-i-Noor	Графические материалы-пастель-масляная
9605_56_72	"Краска по стеклу ""Glass Art"" цв.№ 421 лимонный банка 15мл"	Marabu	ДПИ-Направления-Стекло-Краски, контуры
